institution_code,institution_name,city,state,latitude,longitude,zip_code
1001,Kaiser Permanente-Woodland Hills,Woodland Hills,CA,34.168454,-118.603802,91364
1004,U Texas MD Anderson Cancer Ctr,Houston,TX,29.760496,-95.363433,77002
1005,Idaho State University,Pocatello,ID,42.866523,-112.443501,83201
1007,U Alabama Med Ctr-Birmingham,Birmingham,AL,33.522217,-86.809079,35203
1009,U Alabama Med Ctr-Montogomery,Montgomery,AL,34.179115,-85.51221,35960
1011,U Arizona COM-Phoenix,Phoenix,AZ,33.44823,-112.075098,85003
1012,St Josephs Hospital,Phoenix,AZ,33.44823,-112.075098,85003
1014,Tucson Hospitals Med Ed,Tucson,AZ,32.221297,-110.973306,85701
1015,U Arizona COM at Tucson,Tucson,AZ,32.221297,-110.973306,85701
1018,U Arkansas COM-Little Rock,Little Rock,AR,34.74679,-92.275505,72201
1020,Phoebe Putney Mem Hosp,Albany,GA,31.472143,-84.127936,31705
1021,San Joaquin Gen Hosp,French Camp,CA,37.885759,-121.275446,95231
1022,UC San Francisco-Fresno,Fresno,CA,36.736079,-119.787082,93721
1023,Glendale Adventist Med Ctr,Glendale,CA,45.81686,-61.313819,91206
1024,Loma Linda University,Loma Linda,CA,34.052029,-117.267728,92354
1025,St Mary Med Ctr-Long Beach,Long Beach,CA,38.460716,-76.468575,20685
1027,Long Beach Mem Med Ctr,Long Beach,CA,33.86008,-118.18494,90805
1030,Cedars-Sinai Med Ctr,Los Angeles,CA,34.048051,-118.254187,90014
1031,Childrens Hospital-LA,Los Angeles,CA,34.048051,-118.254187,90014
1032,Mayo Clinic School of Grad Med Educ,Jacksonville,FL,30.326472,-81.65535,32202
1033,U Southern California,Los Angeles,CA,34.062614,-118.36941,90048
1040,White Mem Med Ctr-LA,Los Angeles,CA,34.048051,-118.254187,90014
1041,Alameda CO Med Ctr,Oakland,CA,37.757244,-122.161964,94605
1042,Kaiser Permanente-Oakland,Oakland,CA,37.81086,-122.29174,94607
1043,UC Irvine Med Ctr,Orange,CA,33.78788,-117.852422,92866
1044,Huntington Memorial Hosp,Pasadena,CA,36.73593,-119.75117,93702
1046,UC Davis Med Ctr,Sacramento,CA,38.581021,-121.493933,95814
1047,Arrowhead Reg Med Ctr,Colton,CA,34.147728,-117.28741,92405
1048,Scripps Mercy Hosp-San Diego,San Diego,CA,32.713623,-117.16016,92101
1049,UC San Diego Med Ctr,San Diego,CA,32.713623,-117.16016,92101
1057,St Marys Medical Ctr-SF,San Francisco,CA,37.734543,-122.423935,94112
1061,CA Pacific Med Center,San Francisco,CA,37.722675,-122.44491,94112
1062,UC San Francisco,San Francisco,CA,37.779238,-122.419359,94103
1063,Santa Clara Valley Med Ctr,San Jose,CA,37.257057,-121.931335,95124
1064,Santa Barbara Cottage Hosp,Santa Barbara,CA,34.423349,-119.70343,93101
1065,Sutter Med Ctr of Santa Rosa,Santa Rosa,CA,38.439666,-122.713437,95404
1067,Harbor-UCLA Med Ctr,Torrance,CA,33.83717,-118.34134,90503
1068,Ventura County Med Ctr,Ventura,CA,34.279537,-119.293106,93001
1069,Ventura County Med Ctr,Ventura,CA,34.279537,-119.293106,93001
1070,Childrens National Med Ctr,Washington,DC,38.90253,-77.039386,20006
1073,Kaiser Permanente-Orange Co,Santa Ana,CA,33.748873,-117.869722,92701
1074,Exempla St Joseph Hosp,Denver,CO,39.741681,-104.986109,80203
1076,U Colorado SOM-Denver,Aurora,CO,39.740328,-104.830668,80045
1077,Denver Health Med Ctr,Denver,CO,39.741681,-104.986109,80203
1079,Bridgeport Hospital,Bridgeport,CT,41.20549,-73.17898,06610
1080,St Vincents Med Ctr,Bridgeport,CT,41.191494,-73.20385,06606
1081,Danbury Hospital,Danbury,CT,41.407053,-73.44359,06810
1082,Greenwich Hospital,Greenwich,CT,41.026228,-73.625896,06830
1083,Hartford Hospital,Hartford,CT,41.731777,-72.791168,06032
1085,St Francis Hospital,Hartford,CT,41.763816,-72.675888,06103
1087,Middlesex Hospital,Middletown,CT,41.560461,-72.649751,06457
1089,Yale-New Haven Hosp,New Haven,CT,41.313087,-72.9218,06510
1090,Hosp of St Raphael,New Haven,CT,41.306065,-72.925772,06510
1091,Concord Hospital,Concord,NH,35.383213,-80.587668,28025
1093,Norwalk Hospital,Norwalk,CT,41.105335,-73.39879,06855
1094,U Connecticut School of Medicine,Farmington,CT,41.719942,-72.831739,06032
1095,Stamford Hospital/Columbia,Stamford,CT,41.984528,-72.28983,06076
1096,St Marys Hospital,Waterbury,CT,40.510883,-84.430556,45885
1097,Waterbury Hospital,Waterbury,CT,41.516028,-72.987394,06712
1098,NYMC-New York Eye And Ear Infirmary,New York,NY,40.712749,-74.005994,10007
1099,Christiana Care,Newark,DE,39.665295,-75.65999,19702
1100,Altru Health System,Grand Forks,ND,47.924469,-97.031592,58201
1101,U Florida COM-Jacksonville,Jacksonville,FL,30.33128,-81.64249,32206
1102,Florida Hosp-Orlando,Orlando,FL,28.54211,-81.379039,32801
1103,Marianjoy Rehab Hosp,Wheaton,IL,41.864846,-88.106622,60187
1104,Jackson Memorial Hosp,Miami,FL,25.762836,-80.311844,33144
1105,Mt Sinai Med Ctr-Miami,Miami Beach,FL,25.784059,-80.131015,33139
1107,Orlando Health,Orlando,FL,28.54211,-81.379039,32801
1109,U South Florida Morsani COM,Tampa,FL,27.947974,-82.457098,33602
1110,Miami Childrens Hosp,Miami,FL,25.783302,-80.22966,33125
1112,Atlanta Med Ctr,Atlanta,GA,33.76362,-84.45537,30314
1113,Emory Univ SOM,Atlanta,GA,33.750801,-84.389855,30303
1118,Med Ctr of Columbus,Columbus,GA,32.47948,-84.9758,31901
1119,Jackson Park Hosp,Chicago,IL,41.782913,-87.58651,60637
1120,Med Ctr Central Georgia/Mercer U SOM,Macon,GA,32.838003,-83.62782,31201
1121,MacNeal Hospital,Berwyn,IL,41.850568,-87.793337,60402
1127,Cook County Health and Hosps Sys,Chicago,IL,41.881953,-87.632362,60602
1131,Advocate Christ Med Ctr,Oak Lawn,IL,41.71159,-87.758126,60453
1132,Westlake Hospital,Melrose Park,IL,41.893404,-87.856606,60160
1135,Sutter Health,Sacramento,CA,38.468923,-121.430738,95823
1137,Advocate IL Masonic Med Ctr,Chicago,IL,41.881953,-87.632362,60602
1139,Baton Rouge Gen Med Ctr,Baton Rouge,LA,30.475288,-91.11605,70805
1140,Methodist Hosp-Sacramento,Sacramento,CA,38.464241,-121.415597,95823
1141,Mercy Hosp & Med Ctr,Chicago,IL,41.881953,-87.632362,60602
1143,Fam Med SW Washington,Vancouver,WA,45.67876,-122.61438,98665
1144,Mt Sinai Hosp Med Ctr,Chicago,IL,41.881953,-87.632362,60602
1147,Rush University Med Ctr,Chicago,IL,41.881953,-87.632362,60602
1150,U Illinois COM,Chicago,IL,41.881953,-87.632362,60602
1159,Swedish Covenant Hosp,Chicago,IL,41.881953,-87.632362,60602
1160,Univ of Chicago Med Ctr,Chicago,IL,41.881953,-87.632362,60602
