institution_code,institution_name,city,state,institution_name_clean,geocode_query,latitude,longitude,id,type,place_type,relevance,text,place_name,bbox,center,context,properties.mapbox_id,properties.wikidata,geometry.type,geometry.coordinates,properties.accuracy,matching_text,matching_place_name,properties.override:postcode
1001,Kaiser Permanente-Woodland Hills,Woodland Hills,CA,Kaiser Permanente-Woodland Hills,"Kaiser Permanente-Woodland Hills, Woodland Hills, CA",34.168454,-118.603802,place.363956460,Feature,,1,Woodland Hills,"Woodland Hills, California, United States",,,,dXJuOm1ieHBsYzpGYkdJN0E,Q1337818,Point,,NA,NA,NA,NA
1004,U Texas MD Anderson Cancer Ctr,Houston,TX,University of Texas MD Anderson Cancer Center,"University of Texas MD Anderson Cancer Center, Houston, TX",29.760496,-95.363433,place.154609900,Feature,,1,Houston,"Houston, Texas, United States",,,,dXJuOm1ieHBsYzpDVGNvN0E,Q16555,Point,,NA,NA,NA,NA
1005,Idaho State University,Pocatello,ID,Idaho State University,"Idaho State University, Pocatello, ID",42.866523,-112.443501,place.263112940,Feature,,1,Pocatello,"Pocatello, Idaho, United States",,,,dXJuOm1ieHBsYzpENjdJN0E,Q320729,Point,,NA,NA,NA,NA
1007,U Alabama Med Ctr-Birmingham,Birmingham,AL,University of Alabama Medical Center-Birmingham,"University of Alabama Medical Center-Birmingham, Birmingham, AL",33.522217,-86.809079,place.28821740,Feature,,1,Birmingham,"Birmingham, Alabama, United States",,,,dXJuOm1ieHBsYzpBYmZJN0E,Q79867,Point,,NA,NA,NA,NA
1009,U Alabama Med Ctr-Montogomery,Montgomery,AL,University of Alabama Medical Center-Montogomery,"University of Alabama Medical Center-Montogomery, Montgomery, AL",34.179115,-85.51221,locality.5974764,Feature,,0.573333,Alexis,"Alexis, Alabama, United States",,,,dXJuOm1ieHBsYzpXeXJz,Q19871926,Point,,NA,NA,NA,NA
1010,San Mateo Behavioral Hlth & Recovery Svcs,San Mateo,CA,San Mateo Behavioral Hlth & Recovery Svcs,"San Mateo Behavioral Hlth & Recovery Svcs, San Mateo, CA",43.272595,-4.083813,address.3642996154186480,Feature,,0.709877,San Mateo,"San Mateo, 39400 Los Corrales de Buelna, Cantabria, Spain",,,,dXJuOm1ieGFkci1zdHI6NGNkNDIxYzUtMTNjMS00ZjE5LWJkZmItZjU4ZmIyNTljMzlm,NA,Point,,street,NA,NA,NA
1011,U Arizona COM-Phoenix,Phoenix,AZ,University of Arizona COM-Phoenix,"University of Arizona COM-Phoenix, Phoenix, AZ",33.44823,-112.075098,place.257902828,Feature,,1,Phoenix,"Phoenix, Arizona, United States",,,,dXJuOm1ieHBsYzpEMTlJN0E,Q16556,Point,,NA,NA,NA,NA
1012,St Josephs Hospital,Phoenix,AZ,St Josephs Hospital,"St Josephs Hospital, Phoenix, AZ",33.44823,-112.075098,place.257902828,Feature,,1,Phoenix,"Phoenix, Arizona, United States",,,,dXJuOm1ieHBsYzpEMTlJN0E,Q16556,Point,,NA,NA,NA,NA
1014,Tucson Hospitals Med Ed,Tucson,AZ,Tucson Hospitals Medical Ed,"Tucson Hospitals Medical Ed, Tucson, AZ",32.221297,-110.973306,place.331737324,Feature,,1,Tucson,"Tucson, Arizona, United States",,,,dXJuOm1ieHBsYzpFOFhvN0E,Q18575,Point,,NA,NA,NA,NA
1015,U Arizona COM at Tucson,Tucson,AZ,University of Arizona COM at Tucson,"University of Arizona COM at Tucson, Tucson, AZ",32.221297,-110.973306,place.331737324,Feature,,1,Tucson,"Tucson, Arizona, United States",,,,dXJuOm1ieHBsYzpFOFhvN0E,Q18575,Point,,NA,NA,NA,NA
1018,U Arkansas COM-Little Rock,Little Rock,AR,University of Arkansas COM-Little Rock,"University of Arkansas COM-Little Rock, Little Rock, AR",34.74679,-92.275505,neighborhood.171674860,Feature,,0.616049,Downtown Little Rock,"Downtown Little Rock, Little Rock, Arkansas, United States",,,,dXJuOm1ieHBsYzpDanVNN0E,NA,Point,,NA,NA,NA,NA
1020,Phoebe Putney Mem Hosp,Albany,GA,Phoebe Putney Mem Hospital,"Phoebe Putney Mem Hospital, Albany, GA",31.472143,-84.127936,address.7500790813734780,Feature,,0.87037,Phoebe Road,"Phoebe Road, Albany, Georgia 31705, United States",,,,dXJuOm1ieGFkci1zdHI6YTcyZmNmNGItMGNmMy00ZmFjLWJjZDEtODhhODcyNDllMjIz,NA,Point,,street,NA,NA,NA
1021,San Joaquin Gen Hosp,French Camp,CA,San Joaquin Gen Hospital,"San Joaquin Gen Hospital, French Camp, CA",37.885759,-121.275446,address.7502778686748274,Feature,,0.647619,East Hospital Road,"East Hospital Road, French Camp, California 95231, United States",,,,dXJuOm1ieGFkci1zdHI6NTNiY2Q4NDQtYjE5ZC00MTliLWE3MzEtODZlZTM3MDU1MjI5,NA,Point,,street,Hospital Rd,"Hospital Rd, French Camp, California 95231, United States",NA
1022,UC San Francisco-Fresno,Fresno,CA,UC San Francisco-Fresno,"UC San Francisco-Fresno, Fresno, CA",36.736079,-119.787082,place.427903212,Feature,,0.596296,Fresno,"Fresno, California, United States",,,,dXJuOm1ieHBsYzpHWUZJN0E,Q43301,Point,,NA,NA,NA,NA
1023,Glendale Adventist Med Ctr,Glendale,CA,Glendale Adventist Medical Center,"Glendale Adventist Medical Center, Glendale, CA",45.81686,-61.313819,locality.35498535,Feature,,0.611111,Glendale,"Glendale, West Bay Road, Nova Scotia, Canada",,,,dXJuOm1ieHBsYzpBaDJxSnc,Q3108730,Point,,NA,NA,NA,NA
1024,Loma Linda University,Loma Linda,CA,Loma Linda University,"Loma Linda University, Loma Linda, CA",34.052029,-117.267728,address.7117582573577968,Feature,,0.9,University Avenue,"University Avenue, Loma Linda, California 92354, United States",,,,dXJuOm1ieGFkci1zdHI6ZjQzOTczY2EtZjUxNy00NGY0LWI4ZjItMzQwMzM4MDI0MDhj,NA,Point,,street,NA,NA,NA
1025,St Mary Med Ctr-Long Beach,Long Beach,CA,St Mary Medical Center-Long Beach,"St Mary Medical Center-Long Beach, Long Beach, CA",38.460716,-76.468575,locality.326544108,Feature,,0.611111,Long Beach,"Long Beach, Maryland, United States",,,,dXJuOm1ieHBsYzpFM2FxN0E,Q6672256,Point,,NA,NA,NA,NA
1027,Long Beach Mem Med Ctr,Long Beach,CA,Long Beach Mem Medical Center,"Long Beach Mem Medical Center, Long Beach, CA",33.86008,-118.18494,neighborhood.446827756,Feature,,0.644444,North Long Beach,"North Long Beach, Long Beach, California, United States",,,,dXJuOm1ieHBsYzpHcUlNN0E,NA,Point,,NA,NA,NA,NA
1028,Meharry/Metro General Hosp,Nashville,TN,Meharry/Metro General Hospital,"Meharry/Metro General Hospital, Nashville, TN",13.081781,80.276353,address.8353680844068506,Feature,,0.618519,General Hospital Road,"General Hospital Road, NGO Annexe, 600003, George Town, Chennai, Chennai, Tamil Nadu, India",,,,NA,NA,Point,,street,NA,NA,NA
1030,Cedars-Sinai Med Ctr,Los Angeles,CA,Cedars-Sinai Medical Center,"Cedars-Sinai Medical Center, Los Angeles, CA",34.048051,-118.254187,place.192407788,Feature,,1,Los Angeles,"Los Angeles, California, United States",,,,dXJuOm1ieHBsYzpDM2ZvN0E,Q65,Point,,NA,NA,NA,NA
1031,Childrens Hospital-LA,Los Angeles,CA,Childrens Hospital-LA,"Childrens Hospital-LA, Los Angeles, CA",34.048051,-118.254187,place.192407788,Feature,,1,Los Angeles,"Los Angeles, California, United States",,,,dXJuOm1ieHBsYzpDM2ZvN0E,Q65,Point,,NA,NA,NA,NA
1032,Mayo Clinic School of Grad Med Educ,Jacksonville,FL,Mayo Clinic School of Grad Medical Educ,"Mayo Clinic School of Grad Medical Educ, Jacksonville, FL",30.326472,-81.65535,place.529320172,Feature,,1,Jacksonville,"Jacksonville, Florida, United States",,,,dXJuOm1ieHBsYzpINHpJN0E,Q16568,Point,,NA,NA,NA,NA
1033,U Southern California,Los Angeles,CA,University of Southern California,"University of Southern California, Los Angeles, CA",34.062614,-118.36941,neighborhood.93981932,Feature,,0.706931,Carthay Circle,"Carthay Circle, Los Angeles, California, United States",,,,dXJuOm1ieHBsYzpCWm9NN0E,NA,Point,,NA,NA,NA,NA
1039,VA Greater LA Hlth Sys,Los Angeles,CA,VA Greater LA Hlth System,"VA Greater LA Hlth System, Los Angeles, CA",41.73347,-4.647466,place.11757638,Feature,,0.471481,Cabezón de Pisuerga,"Cabezón de Pisuerga, Valladolid, Spain",,,,dXJuOm1ieHBsYzpzMmhH,Q1650608,Point,,NA,NA,NA,NA
1040,White Mem Med Ctr-LA,Los Angeles,CA,White Mem Medical Center-LA,"White Mem Medical Center-LA, Los Angeles, CA",34.048051,-118.254187,place.192407788,Feature,,1,Los Angeles,"Los Angeles, California, United States",,,,dXJuOm1ieHBsYzpDM2ZvN0E,Q65,Point,,NA,NA,NA,NA
1041,Alameda CO Med Ctr,Oakland,CA,Alameda CO Medical Center,"Alameda CO Medical Center, Oakland, CA",37.757244,-122.161964,neighborhood.95816940,Feature,,0.586296,Castlemont,"Castlemont, Oakland, California, United States",,,,dXJuOm1ieHBsYzpCYllNN0E,NA,Point,,NA,NA,NA,NA
1042,Kaiser Permanente-Oakland,Oakland,CA,Kaiser Permanente-Oakland,"Kaiser Permanente-Oakland, Oakland, CA",37.81086,-122.29174,neighborhood.783338732,Feature,,0.637778,West Oakland,"West Oakland, Oakland, California, United States",,,,dXJuOm1ieHBsYzpMckRNN0E,Q7986100,Point,,NA,NA,NA,NA
