specialty,outcome,coef,se,tstat,pvalue,avg_treat,pretrend_p,treat_p,n_programs,n_states
Anesth,quota,.0088374737533741,.23409657,.037751399,,-.13251081,.0097169941,.90896207,154,43
Anesth,matched,-.2349340943328571,.26878768,-.8740508,,-.15577315,.00039785897,.83599561,154,43
Anesth,unmatched,.2437712585087866,.15088449,1.615615,,.023262195,.0067138807,.3502948,154,43
Anesth,matched_per_,-.0012441797784959,.0050462079,-.24655737,,.0078020161,.62311411,.79913121,154,43
Anesth,quota_per_10,.0009101688948441,.0043718894,.20818663,,.0081645949,.53214848,.82832879,154,43
Anesth,unmatched_pe,.0021543451846355,.0022956606,.93844235,,.00036257663,.42111683,.84351391,154,43
Derm,quota,-.1790070973802358,.08679311,-2.0624573,,-.32831827,.0083508343,.1513222,133,40
Derm,matched,-.1751113730715588,.082415387,-2.1247413,,-.25094265,.097626738,.035155244,133,40
Derm,unmatched,-.0038957166107139,.042520564,-.091619588,,-.077375621,.53058839,.071702667,133,40
Derm,matched_per_,-.0013814463682138,.0022793689,-.60606533,,.00010444112,.74016136,.87666917,133,40
Derm,quota_per_10,-.0023243940790962,.0022989272,-1.0110778,,-.0003145347,.72291523,.52641302,133,40
Derm,unmatched_pe,-.0009429431194121,.00053744036,-1.7545075,,-.00041897062,.67270917,.14687236,133,40
EM,quota,-.1919232176696823,.23256227,-.82525516,,-1.2077023,.64017105,.0011393913,232,44
EM,matched,-.2297803282854147,.24813803,-.92601824,,-1.2134774,.3955057,.00094353547,232,44
EM,unmatched,.037857060895476,.066706471,.5675171,,.0057748728,.00081606378,.43995097,232,44
EM,matched_per_,-.0003425518168569,.0034985542,-.097912394,,-.012381201,.43189639,.086246513,232,44
EM,quota_per_10,.0010220777571703,.0039254073,.26037496,,-.011731245,.3339076,.053412303,232,44
EM,unmatched_pe,.0013646440132788,.001181767,1.1547488,,.00064997864,.011500793,.58741802,232,44
ENT,quota,-.0330176573770586,.050232105,-.6573019,,-.1600621,.45631403,.18655463,110,41
ENT,matched,-.0388383002136834,.055648521,-.69792151,,-.1735168,.89770198,.41360885,110,41
ENT,unmatched,.0058207186812069,.014675813,.39661986,,.01345473,.0048297653,.39707783,110,41
ENT,matched_per_,.0009095309205804,.0014680768,.61953902,,-.0025784166,.8536126,.37320247,110,41
ENT,quota_per_10,.0006313425669759,.001388107,.45482272,,-.0028603098,.66537452,.34807888,110,41
ENT,unmatched_pe,-.0002781697780847,.00035213973,-.78994143,,-.00028186932,.22418684,.45542374,110,41
FM,quota,.0298795887210872,.13760781,.21713586,,-.12521103,.27990583,.16593769,542,51
FM,matched,.0090458545964793,.15667042,.057738114,,-.16178575,.18340199,.10325533,542,51
FM,unmatched,.020833512495301,.068159245,.30565938,,.036574617,.26880339,.29916027,542,51
FM,matched_per_,-.0082066011229358,.0068970523,-1.1898708,,-.0091722477,.49296939,.61412674,542,51
FM,quota_per_10,-.0047867706065006,.0055956934,-.85543835,,-.0048526968,.46331757,.80364865,542,51
FM,unmatched_pe,.0034198238376391,.0027967826,1.2227707,,.0043195486,.53683633,.70505238,542,51
IM,quota,.2313806398160523,.38317889,.60384494,,-.94619161,.0016556644,.28720427,503,49
IM,matched,.3087540672640898,.3669197,.84147584,,-.77066046,.00038374547,.14605862,503,49
IM,unmatched,-.0773735387265333,.089011833,-.86925006,,-.175531,.45591247,.01739612,503,49
IM,matched_per_,.0207348207071618,.01443169,1.4367563,,.008510313,.42112651,.05041204,503,49
IM,quota_per_10,.0213344351607248,.01674881,1.2737881,,.0083241081,.10461973,.35455656,503,49
IM,unmatched_pe,.0005996372908612,.0040986259,.14630203,,-.00018618221,.81413776,.147522,503,49
Neuro,quota,.0547648996798671,.12723227,.4304325,,-.05702449,3.5153497e-10,.000097893841,172,41
Neuro,matched,.1003298677023849,.12717178,.78893179,,-.036106247,5.7290608e-06,.0019599935,172,41
Neuro,unmatched,-.0455649608920794,.055353936,-.82315671,,-.020918269,.041170578,.81805754,172,41
Neuro,matched_per_,.0048130087120057,.0045380918,1.0605798,,.0041718842,.23347169,.16266447,172,41
Neuro,quota_per_10,.002276048177464,.003158459,.72061986,,.0037582871,.15353419,.069944412,172,41
Neuro,unmatched_pe,-.0025369518286311,.002157928,-1.1756425,,-.0004135849,.37400508,.77327979,172,41
OBGYN,quota,.0926171187020373,.075243406,1.2309002,,.060520113,.0028000153,.16261068,274,45
OBGYN,matched,.0636428708676249,.071870461,.88552189,,.067712449,.0019900517,.36009562,274,45
OBGYN,unmatched,.0289742993845721,.018688204,1.5504059,,-.0071923137,.81593251,.10260994,274,45
OBGYN,matched_per_,-.0018871899856094,.0027226531,-.69314373,,-.00066551217,.031147983,.48688421,274,45
OBGYN,quota_per_10,-.0012019272428461,.0027097024,-.44356433,,-.00052410876,.0082101943,.32905164,274,45
OBGYN,unmatched_pe,.0006852717552306,.00042719179,1.6041315,,.00014141975,.90320271,.40246174,274,45
PMR,quota,-.0413360714446753,.12013156,-.34409004,,-.11586824,.12119602,.59405452,93,32
PMR,matched,-.0986735086189583,.11378763,-.8671726,,-.086055599,.041250523,.79812896,93,32
PMR,unmatched,.057337509264471,.060177911,.95279992,,-.029812573,.0030674972,.42250755,93,32
PMR,matched_per_,-.0002286476609434,.0028754168,-.079518095,,-.0020869689,.42776674,.54465866,93,32
PMR,quota_per_10,.0018298105781014,.0026346145,.69452691,,-.0010277125,.55544823,.39269781,93,32
PMR,unmatched_pe,.0020584236456216,.0014356843,1.4337578,,.0010592107,.14821622,.47225192,93,32
Path,quota,-.0326422787620686,.12383129,-.26360282,,-.017631745,.022896217,.45468786,145,43
Path,matched,.0391589918290265,.16552855,.2365694,,.068807393,1.1085019e-23,.4222573,145,43
Path,unmatched,-.0718011040298734,.11528903,-.62279218,,-.086439066,0,.3482841,145,43
Path,matched_per_,.0043894343616557,.0046476671,.94443822,,.0047024791,.000085857253,.099984571,145,43
Path,quota_per_10,.0014464564105765,.0045875297,.31530184,,.0027982914,.26776803,.55514538,145,43
Path,unmatched_pe,-.0029429587082177,.0031180764,-.94383788,,-.0019041542,.000026642612,.21874501,145,43
Peds,quota,-.1842422064801212,.18638732,-.98849112,,-.47146261,.18257995,.38520059,212,45
